,issn,issn_alt,context_name,journal_url,gcld3_code,language,discipline
43,1699-6712,,Ciències: revista del professorat de ciències de Primària i Secundària,http://ada.uab.cat:8132/ciencies,ca,Catalan,Biological Sciences
44,2339-6490,,Treballs d'Arqueologia,http://ada.uab.cat:8136/treballsarqueologia,ca,Catalan,History and Archaeology
45,2014-850X,,Faventia,http://ada.uab.cat:8137/faventia,es,Spanish,"Language, Communication and Culture"
46,2014-8410,,Medievalia,http://ada.uab.cat:8139/medievalia,ca,Catalan,"Language, Communication and Culture"
47,1885-8996,,Perifèria. Revista d'investigació i formació en Antropologia,http://ada.uab.cat:8142/periferia,es,Spanish,Studies in Human Society
48,2014-8828,,Quaderns d’Italià,http://ada.uab.cat:8143/quadernsitalia,it,Italian,"Language, Communication and Culture"
49,2014-4520,,Quaderns de Psicologia,http://ada.uab.cat:8144/quadernspsicologia,es,Spanish,Psychology and Cognitive Sciences
50,2385-5355,,Dante e l'Arte,http://ada.uab.cat:8146/dea,it,Italian,Studies in Creative Arts and Writing
51,2385-5452,,Tiempo devorado,http://ada.uab.cat:8149/tdevorado,es,Spanish,Studies in Human Society
52,1138-5790,2014-9735,Quaderns. Revista de traducció,http://ada.uab.es:8083/quaderns,en,English,"Language, Communication and Culture"
53,2723-4479,,ADIKARA CENDEKIA : Jurnal Ilmiah Pendidikan dan Pembelajaran,http://adikaracendekia.com/index.php/adikara,id,Indonesian,Studies in Human Society
54,2338-4891,2655-3228,Andalas Dental Journal,http://adj.fkg.unand.ac.id/index.php/ADJ,en,English,Medical and Health Sciences
55,2714-7673,,Jurnal Administrativa,http://administrativa.fisip.unila.ac.id/index.php/1,en,English,Studies in Human Society
56,1726-3255,2415-721X,Algebra and Discrete Mathematics,http://admjournal.luguniv.edu.ua/index.php/adm,en,English,Mathematical Sciences
57,2549-5372,,ADRI International Journal of Engineering and Natural Science,http://adri.journal.or.id/index.php/ijens,en,English,Engineering and Technology
58,2232-738X,,Acta Economica,http://ae.ef.unibl.org/index.php/AE,en,English,"Commerce, Management, Tourism and Services"
59,2722-4031,2722-404X,AEEJ : Journal of Automotive Engineering and Vocational Education,http://aeej.ppj.unp.ac.id/index.php/aeej,id,Indonesian,Engineering and Technology
60,2307-3748,2310-3841,International Journal of Endorsing Health Science Research (IJEHSR),http://aeirc-edu.com/ojs14/index.php/IJEHSR,en,English,Medical and Health Sciences
61,2413-4252,,International Journal on Women Empowerment,http://aeirc-edu.com/ojs14/index.php/IJWE,en,English,Psychology and Cognitive Sciences
62,2410-1354,,Annals of Psychophysiology,http://aeirc-edu.com/ojs14/index.php/app,en,English,Medical and Health Sciences
63,2315-456X,,Advanced Emergency Medicine,http://aem.usp-pl.com/index.php/aem,en,English,Medical and Health Sciences
64,1130-9512,2660-7271,Revista de Psiquiatría Infanto-Juvenil,http://aepnya.com/index.php/revistaaepnya,es,Spanish,Medical and Health Sciences
65,2406-1581,,Acta Entomologica Serbica,http://aes.bio.bg.ac.rs/index.php/aes,en,English,Biological Sciences
66,2602-5345,,Afak for Sciences,http://afak-revues.net/index.php/afak,en,English,Studies in Human Society
67,2442-5885,2622-3392,Afiasi : Jurnal Kesehatan Masyarakat,http://afiasi.unwir.ac.id/index.php/afiasi,id,Indonesian,Medical and Health Sciences
68,2518-2722,,Africa Journal of Technical and Vocational Education and Training,http://afritvet.org/index.php/Afritvet,en,English,Education
69,2236-3637,,Boletim Campineiro de Geografia,http://agbcampinas.com.br/bcg/index.php/boletim-campineiro,pt,Portuguese,Psychology and Cognitive Sciences
70,1909-2407,,"REVISTA SALUD, HISTORIA Y SANIDAD",http://agenf.org/ojs/index.php/shs,es,Spanish,Medical and Health Sciences
71,2709-0205,,Ageing & Longevity,http://aging-longevity.org.ua/index.php/journal-description,en,English,Medical and Health Sciences
72,2709-4405,,Аграрні інновації,http://agrarian-innovations.izpr.ks.ua/index.php/agrarian,en,English,Agricultural and Veterinary Sciences
73,2449-5999,,Agricultural Engineering,http://agriceng.ptir.org/index.php/AgricEng,en,English,Agricultural and Veterinary Sciences
74,1411-8262,2798-5385,JURNAL AGRIMANSION,http://agrimansion.unram.ac.id/index.php/Agri,id,Indonesian,Biological Sciences
75,2597-8713,,Agricultural Science,http://agriscience.scientific-work.org/index.php/agriscience,en,English,Engineering and Technology
76,1979-7362,2656-2413,Jurnal Agritechno,http://agritech.unhas.ac.id/ojs/index.php/at,id,Indonesian,Engineering and Technology
77,2621-9468,,"Canrea Journal: Food Technology, Nutritions, and Culinary Journal",http://agritech.unhas.ac.id/ojs/index.php/canrea,en,English,Engineering and Technology
78,2580-0035,,JURNAL AGRI-TEK : Jurnal Penelitian Ilmu-Ilmu Eksakta,http://agritek.unmermadiun.ac.id/index.php/agritek,en,English,Engineering and Technology
79,2730-5066,,Agrociencia Uruguay,http://agrocienciauruguay.uy/ojs/index.php/agrociencia,en,English,Engineering and Technology
80,1999-5636,,Аграрная Россия,http://agros.folium.ru/index.php/agros,en,English,Biological Sciences
81,2658-7963,,Научные труды по агрономии,http://agrosci.ru/index.php/journal,ru,Russian,Agricultural and Veterinary Sciences
82,1686-879X,,วารสารสมาคมศัลยแพทย์ทั่วไปแห่งประเทศไทย (Journal of Thai General Surgery),http://agst.in/agst/index.php/tsgjournal61,th,Thai,Medical and Health Sciences
83,2471-965X,,Hungarian Cultural Studies,http://ahea.pitt.edu/ojs/index.php/ahea,en,English,History and Archaeology
84,2620-4908,,AICLL: ANNUAL INTERNATIONAL CONFERENCE ON LANGUAGE AND LITERATURE,http://aicll.sastra.uisu.ac.id/index.php/aicll,en,English,"Language, Communication and Culture"
85,2746-492X,2746-4938,Al-Ijtimā': Jurnal Pengabdian Kepada Masyarakat,http://aijpkm.iaiq.ac.id/index.php/pkm,id,Indonesian,Medical and Health Sciences
86,1517-591X,2177-8760,Revista de Ciências Agrárias Amazonian Journal of Agricultural and Environmental Sciences,http://ajaes.ufra.edu.br/index.php/ajaes,pt,Portuguese,Engineering and Technology
87,2330-9245,,American Journal of Experimental and Clinical Research,http://ajecr.org/index.php/ajecr,en,English,Medical and Health Sciences
88,2309-9240,,"African Journal of Education,Science and Technology",http://ajest.info/index.php/ajest,en,English,Earth and Environmental Sciences
89,1449-3098,1449-5554,Australasian Journal of Educational Technology,http://ajet.org.au/index.php/AJET,en,English,"Language, Communication and Culture"
90,2707-8809,,ASIAN Journal of International Peace & Security (AJIPS),http://ajips.org/index.php/ajips,en,English,Studies in Human Society
91,2301-8208,2355-9500,Andalas Journal of International Studies (AJIS),http://ajis.fisip.unand.ac.id/index.php/ajis,en,English,Studies in Human Society
92,2206-4370,,"Australasian Journal of Law, Ethics and Governance (AJLEG)",http://ajleg.net.au/index.php/AJLEG,en,English,"Commerce, Management, Tourism and Services"
93,2616-9754,2663-1040,Abasyn Journal of Life Sciences,http://ajlifesciences.com/ojs/index.php/ajls,en,English,Biological Sciences
94,0189-5710,,African Journal of Oral Health,http://ajoh.oauife.edu.ng/index.php/ajoh,en,English,Medical and Health Sciences
95,2202-7270,,Australasian Journal of Paramedicine,http://ajp.paramedics.org/index.php/ajp,en,English,Medical and Health Sciences
96,2719-4280,,Archiwum Kryminologii,http://ak.inp.pan.pl/index.php/ak,en,English,Studies in Human Society
97,2719-4256,,Contemporary Central & East European Law,http://ak.inp.pan.pl/index.php/cceel,en,English,Studies in Human Society
98,0039-3312,2719-4302,Studia Prawnicze,http://ak.inp.pan.pl/index.php/sp,en,English,Law and Legal Studies
99,2757-6469,,Uluslararası Akademik Birikim Dergisi,http://akademikbirikimdergisi.com/index.php/uabd,en,English,"Commerce, Management, Tourism and Services"
100,2720-9121,2721-5229,Jurnal ABDIMAS-HIP : Pengabdian Kepada Masyarakat,http://akbidhipekalongan.ac.id/e-journal/index.php/abdimaship,en,English,Medical and Health Sciences
101,2549-2772,2579-5481,Jurnal Kebidanan Harapan Ibu Pekalongan,http://akbidhipekalongan.ac.id/e-journal/index.php/jurbidhip,id,Indonesian,Medical and Health Sciences
102,2620-9861,,Jurnal Akrab Juara,http://akrabjuara.com/index.php/akrabjuara,id,Indonesian,Education
103,2615-1111,,AKSA: Jurnal Desain Komunikasi Visual,http://aksa.stsrdvisi.ac.id/index.php/aksa,en,English,Studies in Human Society
104,2597-6095,,Aksara: Jurnal Ilmiah Pendidikan Bahasa dan Sastra Indonesia,http://aksara.unbari.ac.id/index.php/aksara,en,English,Education
105,2655-1918,2877-1516,Aksara Public,http://aksarapublic.com/index.php/home,en,English,Education
106,2723-0643,2723-0740,AKSELERASI: Jurnal Pendidikan Guru MI,http://akselerasi.iain-jember.ac.id/index.php/aksel,id,Indonesian,Psychology and Cognitive Sciences
107,1858-0785,2654-8488,Jurnal Riset Akuntansi Aksioma,http://aksioma.unram.ac.id/index.php/aksioma,en,English,"Commerce, Management, Tourism and Services"
108,2663-4392,2706-6436,Al-Milal: Journal of Religion and Thought,http://al-milal.org/journal/index.php/almilal,en,English,Philosophy and Religious Studies
109,2709-6076,,Al-Qirtas,http://al-qirtas.com/index.php/Al-Qirtas,ar,Arabic,Education
110,2709-605X,,Al-Safiir,http://al-safiir.com/index.php/Al-Safiir,en,English,Law and Legal Studies
111,1816-5389,,Al Tafseer - Biannual Journal,http://al-tafseer.org/index.php/at,ur,Urdu,Philosophy and Religious Studies
112,1410-7406,2684-8368,Al'Adalah,http://aladalah.iain-jember.ac.id/index.php/aladalah,en,English,Studies in Human Society
113,2656-1182,,Al Aqidah (Jurnal Studi Islam),http://alaqidah.ac.id/jsi/index.php/jsi,en,English,Education
114,1858-4950,2615-6024,Alayasastra,http://alayasastra.kemdikbud.go.id/index.php/alayasastra,id,Indonesian,"Language, Communication and Culture"
115,2746-3362,,Albariq: Jurnal Pendidikan Bahasa Arab,http://albariq.org/index.php/albariq,id,Indonesian,"Language, Communication and Culture"
116,2521-408X,,Al-Burz,http://alburz.uob.edu.pk/journal/index.php/alburz,ur,Urdu,"Language, Communication and Culture"
117,0835-5851,2293-6629,Alces: A Journal Devoted to the Biology and Management of Moose,http://alcesjournal.org/index.php/alces,en,English,Biological Sciences
118,2554-4853,,Alcoologie et Addictologie,http://alcoologie-et-addictologie.fr/index.php/aa,en,English,Medical and Health Sciences
119,2415-5500,,ALDEBAL,http://aldebal.com/index.php/aldebal,ar,Arabic,Philosophy and Religious Studies
120,1405-2253,2007-3496,América Latina en la Historia Económica,http://alhe.mora.edu.mx/index.php/ALHE,sv,Swedish,Economics
121,2685-4376,,Jurnal Al-Hikmah,http://alhikmah.iain-jember.ac.id/index.php/alhikmah,en,English,"Commerce, Management, Tourism and Services"
122,1818-9296,,Almas Urdu Research Journal - الماس اردو تحقیقی مجلہ,http://almas.salu.edu.pk/index.php/ALMAS,ur,Urdu,"Language, Communication and Culture"
123,2580-9075,,Alpen: Jurnal Pendidikan Dasar,http://alpen.web.id/index.php/alpen,id,Indonesian,Education
124,2664-4398,,Al-Qamar,http://alqamarjournal.com/index.php/alqamar,en,English,Philosophy and Religious Studies
125,0259-9953,,Al-Raida Journal,http://alraidajournal.com/index.php/ALRJ,en,English,"Language, Communication and Culture"
126,2463-0624,,Revista Electrónica TicALS,http://als.edu.co/revistaticals/index.php/ticals,es,Spanish,Education
127,1858-9154,,Alsalam university Journal,http://alsalam.edu.sd/journal/index.php/suj,ar,Arabic,Engineering and Technology
128,2631-8946,2631-8954,The International Journal of Applied Language Studies and Culture,http://alscjournal.com/index.php/ALSC,en,English,"Language, Communication and Culture"
129,2685-5291,,Jurnal Al-Tatwir,http://altatwir.iain-jember.ac.id/index.php/altatwir,en,English,"Commerce, Management, Tourism and Services"
130,2708-7328,,Інструментальне матеріалознавство,http://altis-ism.org.ua/index.php/ALTIS,ru,Russian,Engineering and Technology
131,2723-0716,,ALVEOLI: Jurnal Pendidikan Biologi,http://alveoli.iain-jember.ac.id/index.php/alv,id,Indonesian,Biological Sciences
132,2476-9282,2548-155X,AMAR (Andalas Management Review),http://amareview.fekon.unand.ac.id/index.php/amar,en,English,"Commerce, Management, Tourism and Services"
133,0252-886X,,Amazonía Peruana,http://amazoniaperuana.caaap.org.pe/index.php/amazoniaperuana,es,Spanish,Studies in Human Society
134,2333-4096,,American Medical Student Research Journal,http://amsrj.org/index.phpamsrj,en,English,Medical and Health Sciences
135,2594-7060,,Anais dos Encontros Nacionais de Engenharia e Desenvolvimento Social - ISSN 2594-7060,http://anais.eneds.org.br/index.php/eneds,pt,Portuguese,Engineering and Technology
136,2763-5732,,Anais do Pró-Ensino: Mostra Anual de Atividades de Ensino da UEL,http://anais.uel.br/portal/index.php/proensino,pt,Portuguese,Studies in Human Society
137,2393-1795,,Annals of Spiru Haret University. Economic Series,http://anale.spiruharet.ro/index.php/economics,en,English,Studies in Human Society
138,2340-5236,,Anàlisi,http://analisi.cat/analisi,es,Spanish,"Language, Communication and Culture"
139,1851-9636,,Análisis Filosófico,http://analisisfilosofico.org/index.php/af,es,Spanish,Philosophy and Religious Studies
140,2333-2611,,Anesthesia eJournal,http://anesthesiaejournal.com/index.php/aej,en,English,Medical and Health Sciences
141,1857-8179,1857-8187,ANGLISTICUM. Journal of the Association-Institute for English Language and American Studies,http://anglisticum.org.mk/index.php/IJLLIS,en,English,Medical and Health Sciences
142,1411-2027,2541-5875,ANIMAL PRODUCTION,http://animalproduction.net/index.php/JAP,en,English,Agricultural and Veterinary Sciences
143,0068-3175,,Annals of the University of Bucharest - Philosophy Series,http://annals.filosofie.unibuc.ro/index.php/annals,en,English,Studies in Human Society
144,2654-4784,,An-Nisa' : Jurnal Kajian Perempuan dan Keislaman,http://annisa.iain-jember.ac.id/index.php/annisa,id,Indonesian,"Commerce, Management, Tourism and Services"
145,2374-2267,,Anthropology & Aging,http://anthro-age.pitt.edu/ojs/index.php/anthro-age,en,English,Studies in Human Society
146,2686-5904,,Journal of Anthropolinguistics,http://anthropolinguistics.ipmi.or.id/index.php/joa,en,English,Medical and Health Sciences
147,2448-7465,,Anuario de Investigación de la Comunicación CONEICC,http://anuario.coneicc.org.mx/index.php/anuarioconeicc,es,Spanish,"Commerce, Management, Tourism and Services"
148,2410-3640,,Anuario Dominicano de Propiedad Intelectual,http://anudopi.funglode.org/index.php/anudopi,es,Spanish,Law and Legal Studies
149,0004-7163,,Атомная энергия,http://ap.j-atomicenergy.ru/index.php/ae,ru,Russian,Medical and Health Sciences
150,1684-8489,,Pressing Problems of Public Administration,http://ap.kh.ua/index.php/apdu,en,English,Studies in Human Society
151,2685-483X,,"Indonesian Journal of Sociology, Education, and Development",http://ap3si.org/ijsed2/index.php/journal,id,Indonesian,Studies in Human Society
152,2237-4329,2317-3432,Apae Ciência,http://apaeciencia.org.br/index.php/revista,pt,Portuguese,Psychology and Cognitive Sciences
153,2309-818X,,Актуальні проблеми держави і права,http://apdp.onua.edu.ua/index.php/apdp,ru,Russian,Law and Legal Studies
154,2527-1180,,Revista Catarinense de Economia,http://apec.pro.br/rce/index.php/rce,pt,Portuguese,Studies in Human Society
155,1993-047X,2410-0390,Actual Problems of Economics and Law,http://apeljournal.ru/index.php/journal,en,English,Studies in Human Society
156,0874-0801,2182-8660,Estudos do Quaternário / Quaternary Studies,http://apeq.pt/estudosdoquaternario/index.php/eq,pt,Portuguese,Earth and Environmental Sciences
157,2446-9807,,Proexologia,http://apexinternacional.org/revista/index.php/proexologia,pt,Portuguese,Information and Computing Sciences
158,2308-6912,2663-8959,Аctual Problems of International Relations,http://apir.iir.edu.ua/index.php/apmv,uk,Ukrainian,Studies in Human Society
159,2588-3682,,Asian Pacific Journal of Cancer Care,http://apjcc.ir/journal/index.php/apjcc,en,English,Medical and Health Sciences
160,2077-9143,2077-9151,Annals of Punjab Medical College (APMC),http://apmcfmu.com/index.php/apmc,en,English,Medical and Health Sciences
161,1906-392X,,วารสารวิชาการ วิศวกรรมศาสตร์ ม.อบ.,http://app.eng.ubu.ac.th/engj/index.php/ojs,th,Thai,Chemical Sciences
162,2616-406X,,Актуальні проблеми політики,http://app.onua.edu.ua/index.php/app,uk,Ukrainian,Studies in Human Society
163,2218-5461,2412-4397,Актуальні проблеми права: теорія і практика,http://app.snu.edu.ua/index.php/actual-law,uk,Ukrainian,Law and Legal Studies
164,2734-3588,,Appellate Review Journal,http://appellatereviewjournal.ng/index.php/arj,en,English,Law and Legal Studies
165,2227-796X,2617-8354,Administrative law and process,http://applaw.net/index.php/journal,en,English,Law and Legal Studies
166,2550-147X,,Journal of Biomedical and Clinical Sciences (JBCS),http://apps.amdi.usm.my/journal/index.php/jbcs,en,English,Medical and Health Sciences
167,1909-0145,,Adversia,http://aprendeenlinea.udea.edu.co/revistas/index.php/adversia,es,Spanish,"Commerce, Management, Tourism and Services"
168,2145-8898,,Hechos Microbiológicos,http://aprendeenlinea.udea.edu.co/revistas/index.php/hm,es,Spanish,Biological Sciences
169,2184-5255,,Revista Aprender,http://aprender.esep.pt/index.php/aprender,pt,Portuguese,Education
170,1688-2873,1688-2881,Aqua-LAC,http://aqua-lac.org/index.php/Aqua-LAC,es,Spanish,Studies in Human Society
171,2469-0414,,Aquelarre,http://aquelarre-revistalij.com/index.php/aquelarre,es,Spanish,"Language, Communication and Culture"
172,2322-9721,,Latin American Journal of Content & Language Integrated Learning,http://aquichan.unisabana.edu.co/index.php/LACLIL,en,English,"Language, Communication and Culture"
173,2027-5374,,Aquichan,http://aquichan.unisabana.edu.co/index.php/aquichan,en,English,Medical and Health Sciences
174,2027-5366,,Díkaion,http://aquichan.unisabana.edu.co/index.php/dikaion,es,Spanish,Law and Legal Studies
175,2027-5358,,Educación y Educadores,http://aquichan.unisabana.edu.co/index.php/eye,en,English,Education
176,2027-534X,,Palabra Clave,http://aquichan.unisabana.edu.co/index.php/palabraclave,es,Spanish,"Language, Communication and Culture"
177,2027-5382,,Persona y Bioética,http://aquichan.unisabana.edu.co/index.php/personaybioetica,es,Spanish,Medical and Health Sciences
178,2550-1011,,JURNAL ARBITRER,http://arbitrer.fib.unand.ac.id/index.php/arbitrer,en,English,"Language, Communication and Culture"
179,2531-8810,,Ex Novo: Journal of Archaeology,http://archaeopresspublishing.com/ojs/index.php/EXNOVO,en,English,History and Archaeology
180,2675-3626,,Archives of Pediatric Neurosurgery,http://archpedneurosurg.com.br/pkp/index.php/sbnped2019,en,English,Medical and Health Sciences
181,2387-4562,,Arctic Review,http://arcticreview.no/index.php/arctic,en,English,Studies in Human Society
182,2535-5279,,Forskning og forandring,http://arcticreview.no/index.php/fof,no,Norwegian,"Commerce, Management, Tourism and Services"
183,2000-7558,,Högre utbildning,http://arcticreview.no/index.php/hu,sv,Swedish,Studies in Human Society
184,1891-1757,,Internasjonal Politikk,http://arcticreview.no/index.php/intpol,no,Norwegian,Studies in Human Society
185,2535-2857,,Journal for Research in Arts and Sports Education,http://arcticreview.no/index.php/jased,no,Norwegian,Education
186,2464-1596,,Nordic Journal of Literacy Research,http://arcticreview.no/index.php/njlr,en,English,Education
187,1891-1773,,Nordisk Østforum,http://arcticreview.no/index.php/noros,en,English,Studies in Human Society
188,2703-8041,,Nordic Research in Music Education,http://arcticreview.no/index.php/nrme,en,English,Psychology and Cognitive Sciences
189,1891-5914,1891-5949,Nordic Studies in Education,http://arcticreview.no/index.php/nse,en,English,Education
190,2387-5739,,Nordisk tidsskrift for pedagogikk og kritikk,http://arcticreview.no/index.php/ntpk,no,Norwegian,Education
191,1820-0958,2560-5593,Arhe,http://arhe.ff.uns.ac.rs/index.php/arhe,en,English,"Language, Communication and Culture"
192,2550-1631,,Asia-Pacific Management Accounting Journal,http://arionline.uitm.edu.my/ojs/index.php/APMAJ,en,English,"Commerce, Management, Tourism and Services"
193,2550-1895,,Management & Accounting Review (MAR),http://arionline.uitm.edu.my/ojs/index.php/MAR,en,English,"Commerce, Management, Tourism and Services"
194,2710-0227,2710-0235,Al Khadim Research journal of Islamic culture and Civilization,http://arjicc.com/index.php/arjicc,ur,Urdu,"Language, Communication and Culture"
195,2707-1200,2707-1219,Al-Aijaz Research Journal of Islamic Studies & Humanities,http://arjish.com/index.php/arjish,ur,Urdu,Philosophy and Religious Studies
196,2707-6288,,URDU RESEARCH : ارمغان,http://armaghan.wum.edu.pk/index.php/ojs,ur,Urdu,"Language, Communication and Culture"
197,2307-549X,2410-9355,ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY,http://aro.koyauniversity.org/index.php/aro,en,English,Engineering and Technology
198,2174-3835,,Atlantic Review of Economics,http://aroec.org/ojs/index.php/ARoEc,es,Spanish,Economics
199,2175-0106,,Ars Veterinaria,http://arsveterinaria.org.br/index.php/ars,pt,Portuguese,Biological Sciences
200,2708-5317,2708-5325,АРТ-платФОРМА,http://art-platforma.kmaecm.edu.ua/index.php/art1,ru,Russian,Studies in Creative Arts and Writing
201,2308-8885,,Мистецтво та освіта,http://artedu.com.ua/index.php/adm,uk,Ukrainian,Education
202,1984-3852,,ARTEFACTUM - Revista de estudos em Linguagens e Tecnologia,http://artefactum.rafrom.com.br/index.php/artefactum,pt,Portuguese,"Language, Communication and Culture"
203,2715-4432,,ARTERI : Jurnal Ilmu Kesehatan,http://arteri.sinergis.org/index.php/arteri,en,English,Medical and Health Sciences
204,2655-786X,,Arthatama,http://arthatamajournal.co.id/index.php/home,en,English,Earth and Environmental Sciences
205,1410-8755,2579-6070,Arthavidya Jurnal Ilmiah Ekonomi,http://arthavidya.wisnuwardhana.ac.id/index.php/arthavidya,en,English,"Commerce, Management, Tourism and Services"
206,2722-1032,,Jurnal Applied Science in Civil Engineering,http://asce.ppj.unp.ac.id/index.php/ASCE,id,Indonesian,Engineering and Technology
207,2503-2569,,ASIAN TEFL Journal of Language Teaching and Applied Linguistics,http://asian-tefl.com/index.php/asiantefl,en,English,"Language, Communication and Culture"
208,1998-409X,,Asian Journal of Pharmaceutics (AJP): Free full text articles from Asian J Pharm,http://asiapharmaceutics.info/index.php/ajp,en,English,Medical and Health Sciences
209,2456-2394,,Academy of Social Science Journal,http://assj.info/index.php/assj,en,English,Studies in Human Society
210,1992-6499,,Астраханский Медицинский Журнал,http://astmedj.ru/index.php/amj,en,English,Biological Sciences
