issn,issn_alt,context_name,journal_url,language
1885-8996,,Perifèria. Revista d'investigació i formació en Antropologia,http://ada.uab.cat:8142/periferia,Spanish
2014-8828,,Quaderns d’Italià,http://ada.uab.cat:8143/quadernsitalia,Italian
2014-4520,,Quaderns de Psicologia,http://ada.uab.cat:8144/quadernspsicologia,Spanish
2385-5355,,Dante e l'Arte,http://ada.uab.cat:8146/dea,Italian
2385-5452,,Tiempo devorado,http://ada.uab.cat:8149/tdevorado,Spanish
1138-5790,2014-9735,Quaderns. Revista de traducció,http://ada.uab.es:8083/quaderns,English
2723-4479,,ADIKARA CENDEKIA : Jurnal Ilmiah Pendidikan dan Pembelajaran,http://adikaracendekia.com/index.php/adikara,Indonesian
2338-4891,2655-3228,Andalas Dental Journal,http://adj.fkg.unand.ac.id/index.php/ADJ,English
2714-7673,,Jurnal Administrativa,http://administrativa.fisip.unila.ac.id/index.php/1,English
1726-3255,2415-721X,Algebra and Discrete Mathematics,http://admjournal.luguniv.edu.ua/index.php/adm,English
2549-5372,,ADRI International Journal of Engineering and Natural Science,http://adri.journal.or.id/index.php/ijens,English
2232-738X,,Acta Economica,http://ae.ef.unibl.org/index.php/AE,English
2722-4031,2722-404X,AEEJ : Journal of Automotive Engineering and Vocational Education,http://aeej.ppj.unp.ac.id/index.php/aeej,Indonesian
2307-3748,2310-3841,International Journal of Endorsing Health Science Research (IJEHSR),http://aeirc-edu.com/ojs14/index.php/IJEHSR,English
2413-4252,,International Journal on Women Empowerment,http://aeirc-edu.com/ojs14/index.php/IJWE,English
2410-1354,,Annals of Psychophysiology,http://aeirc-edu.com/ojs14/index.php/app,English
2315-456X,,Advanced Emergency Medicine,http://aem.usp-pl.com/index.php/aem,English
1130-9512,2660-7271,Revista de Psiquiatría Infanto-Juvenil,http://aepnya.com/index.php/revistaaepnya,Spanish
2406-1581,,Acta Entomologica Serbica,http://aes.bio.bg.ac.rs/index.php/aes,English
2602-5345,,Afak for Sciences,http://afak-revues.net/index.php/afak,English
2442-5885,2622-3392,Afiasi : Jurnal Kesehatan Masyarakat,http://afiasi.unwir.ac.id/index.php/afiasi,Indonesian
2518-2722,,Africa Journal of Technical and Vocational Education and Training,http://afritvet.org/index.php/Afritvet,English
2236-3637,,Boletim Campineiro de Geografia,http://agbcampinas.com.br/bcg/index.php/boletim-campineiro,Portuguese
1909-2407,,"REVISTA SALUD, HISTORIA Y SANIDAD",http://agenf.org/ojs/index.php/shs,Spanish
2709-0205,,Ageing & Longevity,http://aging-longevity.org.ua/index.php/journal-description,English
2709-4405,,Аграрні інновації,http://agrarian-innovations.izpr.ks.ua/index.php/agrarian,English
2449-5999,,Agricultural Engineering,http://agriceng.ptir.org/index.php/AgricEng,English
1411-8262,2798-5385,JURNAL AGRIMANSION,http://agrimansion.unram.ac.id/index.php/Agri,Indonesian
2597-8713,,Agricultural Science,http://agriscience.scientific-work.org/index.php/agriscience,English
1979-7362,2656-2413,Jurnal Agritechno,http://agritech.unhas.ac.id/ojs/index.php/at,Indonesian
2621-9468,,"Canrea Journal: Food Technology, Nutritions, and Culinary Journal",http://agritech.unhas.ac.id/ojs/index.php/canrea,English
2580-0035,,JURNAL AGRI-TEK : Jurnal Penelitian Ilmu-Ilmu Eksakta,http://agritek.unmermadiun.ac.id/index.php/agritek,English
2730-5066,,Agrociencia Uruguay,http://agrocienciauruguay.uy/ojs/index.php/agrociencia,English
1999-5636,,Аграрная Россия,http://agros.folium.ru/index.php/agros,English
2658-7963,,Научные труды по агрономии,http://agrosci.ru/index.php/journal,Russian
1686-879X,,วารสารสมาคมศัลยแพทย์ทั่วไปแห่งประเทศไทย (Journal of Thai General Surgery),http://agst.in/agst/index.php/tsgjournal61,Thai
2471-965X,,Hungarian Cultural Studies,http://ahea.pitt.edu/ojs/index.php/ahea,English
2620-4908,,AICLL: ANNUAL INTERNATIONAL CONFERENCE ON LANGUAGE AND LITERATURE,http://aicll.sastra.uisu.ac.id/index.php/aicll,English
2746-492X,2746-4938,Al-Ijtimā': Jurnal Pengabdian Kepada Masyarakat,http://aijpkm.iaiq.ac.id/index.php/pkm,Indonesian
1517-591X,2177-8760,Revista de Ciências Agrárias Amazonian Journal of Agricultural and Environmental Sciences,http://ajaes.ufra.edu.br/index.php/ajaes,Portuguese
2330-9245,,American Journal of Experimental and Clinical Research,http://ajecr.org/index.php/ajecr,English
2309-9240,,"African Journal of Education,Science and Technology",http://ajest.info/index.php/ajest,English
1449-3098,1449-5554,Australasian Journal of Educational Technology,http://ajet.org.au/index.php/AJET,English
2707-8809,,ASIAN Journal of International Peace & Security (AJIPS),http://ajips.org/index.php/ajips,English
2301-8208,2355-9500,Andalas Journal of International Studies (AJIS),http://ajis.fisip.unand.ac.id/index.php/ajis,English
2206-4370,,"Australasian Journal of Law, Ethics and Governance (AJLEG)",http://ajleg.net.au/index.php/AJLEG,English
2616-9754,2663-1040,Abasyn Journal of Life Sciences,http://ajlifesciences.com/ojs/index.php/ajls,English
0189-5710,,African Journal of Oral Health,http://ajoh.oauife.edu.ng/index.php/ajoh,English
2202-7270,,Australasian Journal of Paramedicine,http://ajp.paramedics.org/index.php/ajp,English
2719-4280,,Archiwum Kryminologii,http://ak.inp.pan.pl/index.php/ak,English
2719-4256,,Contemporary Central & East European Law,http://ak.inp.pan.pl/index.php/cceel,English
0039-3312,2719-4302,Studia Prawnicze,http://ak.inp.pan.pl/index.php/sp,English
2757-6469,,Uluslararası Akademik Birikim Dergisi,http://akademikbirikimdergisi.com/index.php/uabd,English
2720-9121,2721-5229,Jurnal ABDIMAS-HIP : Pengabdian Kepada Masyarakat,http://akbidhipekalongan.ac.id/e-journal/index.php/abdimaship,English
2549-2772,2579-5481,Jurnal Kebidanan Harapan Ibu Pekalongan,http://akbidhipekalongan.ac.id/e-journal/index.php/jurbidhip,Indonesian
2620-9861,,Jurnal Akrab Juara,http://akrabjuara.com/index.php/akrabjuara,Indonesian
2615-1111,,AKSA: Jurnal Desain Komunikasi Visual,http://aksa.stsrdvisi.ac.id/index.php/aksa,English
2597-6095,,Aksara: Jurnal Ilmiah Pendidikan Bahasa dan Sastra Indonesia,http://aksara.unbari.ac.id/index.php/aksara,English
2655-1918,2877-1516,Aksara Public,http://aksarapublic.com/index.php/home,English
2723-0643,2723-0740,AKSELERASI: Jurnal Pendidikan Guru MI,http://akselerasi.iain-jember.ac.id/index.php/aksel,Indonesian
1858-0785,2654-8488,Jurnal Riset Akuntansi Aksioma,http://aksioma.unram.ac.id/index.php/aksioma,English
2663-4392,2706-6436,Al-Milal: Journal of Religion and Thought,http://al-milal.org/journal/index.php/almilal,English
2709-6076,,Al-Qirtas,http://al-qirtas.com/index.php/Al-Qirtas,English
2709-605X,,Al-Safiir,http://al-safiir.com/index.php/Al-Safiir,English
1816-5389,,Al Tafseer - Biannual Journal,http://al-tafseer.org/index.php/at,English
1410-7406,2684-8368,Al'Adalah,http://aladalah.iain-jember.ac.id/index.php/aladalah,English
2656-1182,,Al Aqidah (Jurnal Studi Islam),http://alaqidah.ac.id/jsi/index.php/jsi,English
1858-4950,2615-6024,Alayasastra,http://alayasastra.kemdikbud.go.id/index.php/alayasastra,Indonesian
2746-3362,,Albariq: Jurnal Pendidikan Bahasa Arab,http://albariq.org/index.php/albariq,Indonesian
2521-408X,,Al-Burz,http://alburz.uob.edu.pk/journal/index.php/alburz,English
0835-5851,2293-6629,Alces: A Journal Devoted to the Biology and Management of Moose,http://alcesjournal.org/index.php/alces,English
2554-4853,,Alcoologie et Addictologie,http://alcoologie-et-addictologie.fr/index.php/aa,English
2415-5500,,ALDEBAL,http://aldebal.com/index.php/aldebal,English
1405-2253,2007-3496,América Latina en la Historia Económica,http://alhe.mora.edu.mx/index.php/ALHE,Swedish
2685-4376,,Jurnal Al-Hikmah,http://alhikmah.iain-jember.ac.id/index.php/alhikmah,English
1818-9296,,Almas Urdu Research Journal - الماس اردو تحقیقی مجلہ,http://almas.salu.edu.pk/index.php/ALMAS,English
2580-9075,,Alpen: Jurnal Pendidikan Dasar,http://alpen.web.id/index.php/alpen,Indonesian
2664-4398,,Al-Qamar,http://alqamarjournal.com/index.php/alqamar,English
0259-9953,,Al-Raida Journal,http://alraidajournal.com/index.php/ALRJ,English
2463-0624,,Revista Electrónica TicALS,http://als.edu.co/revistaticals/index.php/ticals,Spanish
1858-9154,,Alsalam university Journal,http://alsalam.edu.sd/journal/index.php/suj,Arabic
2631-8946,2631-8954,The International Journal of Applied Language Studies and Culture,http://alscjournal.com/index.php/ALSC,English
2685-5291,,Jurnal Al-Tatwir,http://altatwir.iain-jember.ac.id/index.php/altatwir,English
2708-7328,,Інструментальне матеріалознавство,http://altis-ism.org.ua/index.php/ALTIS,Russian
2723-0716,,ALVEOLI: Jurnal Pendidikan Biologi,http://alveoli.iain-jember.ac.id/index.php/alv,Indonesian
2476-9282,2548-155X,AMAR (Andalas Management Review),http://amareview.fekon.unand.ac.id/index.php/amar,English
0252-886X,,Amazonía Peruana,http://amazoniaperuana.caaap.org.pe/index.php/amazoniaperuana,Spanish
2333-4096,,American Medical Student Research Journal,http://amsrj.org/index.phpamsrj,English
2594-7060,,Anais dos Encontros Nacionais de Engenharia e Desenvolvimento Social - ISSN 2594-7060,http://anais.eneds.org.br/index.php/eneds,Portuguese
2763-5732,,Anais do Pró-Ensino: Mostra Anual de Atividades de Ensino da UEL,http://anais.uel.br/portal/index.php/proensino,Portuguese
2393-1795,,Annals of Spiru Haret University. Economic Series,http://anale.spiruharet.ro/index.php/economics,English
2340-5236,,Anàlisi,http://analisi.cat/analisi,Spanish
1851-9636,,Análisis Filosófico,http://analisisfilosofico.org/index.php/af,Spanish
2333-2611,,Anesthesia eJournal,http://anesthesiaejournal.com/index.php/aej,English
1857-8179,1857-8187,ANGLISTICUM. Journal of the Association-Institute for English Language and American Studies,http://anglisticum.org.mk/index.php/IJLLIS,English
1411-2027,2541-5875,ANIMAL PRODUCTION,http://animalproduction.net/index.php/JAP,English
0068-3175,,Annals of the University of Bucharest - Philosophy Series,http://annals.filosofie.unibuc.ro/index.php/annals,English
2654-4784,,An-Nisa' : Jurnal Kajian Perempuan dan Keislaman,http://annisa.iain-jember.ac.id/index.php/annisa,Indonesian
2374-2267,,Anthropology & Aging,http://anthro-age.pitt.edu/ojs/index.php/anthro-age,English
2686-5904,,Journal of Anthropolinguistics,http://anthropolinguistics.ipmi.or.id/index.php/joa,English
2448-7465,,Anuario de Investigación de la Comunicación CONEICC,http://anuario.coneicc.org.mx/index.php/anuarioconeicc,Spanish
2410-3640,,Anuario Dominicano de Propiedad Intelectual,http://anudopi.funglode.org/index.php/anudopi,Spanish
0004-7163,,Атомная энергия,http://ap.j-atomicenergy.ru/index.php/ae,Russian
1684-8489,,Pressing Problems of Public Administration,http://ap.kh.ua/index.php/apdu,English
2685-483X,,"Indonesian Journal of Sociology, Education, and Development",http://ap3si.org/ijsed2/index.php/journal,Indonesian
2237-4329,2317-3432,Apae Ciência,http://apaeciencia.org.br/index.php/revista,Portuguese
2309-818X,,Актуальні проблеми держави і права,http://apdp.onua.edu.ua/index.php/apdp,Russian
2527-1180,,Revista Catarinense de Economia,http://apec.pro.br/rce/index.php/rce,Portuguese
1993-047X,2410-0390,Actual Problems of Economics and Law,http://apeljournal.ru/index.php/journal,English
0874-0801,2182-8660,Estudos do Quaternário / Quaternary Studies,http://apeq.pt/estudosdoquaternario/index.php/eq,Portuguese
2446-9807,,Proexologia,http://apexinternacional.org/revista/index.php/proexologia,Portuguese
2308-6912,2663-8959,Аctual Problems of International Relations,http://apir.iir.edu.ua/index.php/apmv,Ukrainian
2588-3682,,Asian Pacific Journal of Cancer Care,http://apjcc.ir/journal/index.php/apjcc,English
2077-9143,2077-9151,Annals of Punjab Medical College (APMC),http://apmcfmu.com/index.php/apmc,English
1906-392X,,วารสารวิชาการ วิศวกรรมศาสตร์ ม.อบ.,http://app.eng.ubu.ac.th/engj/index.php/ojs,Thai
2616-406X,,Актуальні проблеми політики,http://app.onua.edu.ua/index.php/app,Ukrainian
2218-5461,2412-4397,Актуальні проблеми права: теорія і практика,http://app.snu.edu.ua/index.php/actual-law,Ukrainian
2734-3588,,Appellate Review Journal,http://appellatereviewjournal.ng/index.php/arj,English
2227-796X,2617-8354,Administrative law and process,http://applaw.net/index.php/journal,English
2550-147X,,Journal of Biomedical and Clinical Sciences (JBCS),http://apps.amdi.usm.my/journal/index.php/jbcs,English
1909-0145,,Adversia,http://aprendeenlinea.udea.edu.co/revistas/index.php/adversia,Spanish
2145-8898,,Hechos Microbiológicos,http://aprendeenlinea.udea.edu.co/revistas/index.php/hm,Spanish
2184-5255,,Revista Aprender,http://aprender.esep.pt/index.php/aprender,Portuguese
1688-2873,1688-2881,Aqua-LAC,http://aqua-lac.org/index.php/Aqua-LAC,Spanish
2469-0414,,Aquelarre,http://aquelarre-revistalij.com/index.php/aquelarre,Spanish
2322-9721,,Latin American Journal of Content & Language Integrated Learning,http://aquichan.unisabana.edu.co/index.php/LACLIL,English
2027-5374,,Aquichan,http://aquichan.unisabana.edu.co/index.php/aquichan,English
2027-5366,,Díkaion,http://aquichan.unisabana.edu.co/index.php/dikaion,Spanish
2027-5358,,Educación y Educadores,http://aquichan.unisabana.edu.co/index.php/eye,English
2027-534X,,Palabra Clave,http://aquichan.unisabana.edu.co/index.php/palabraclave,Spanish
2027-5382,,Persona y Bioética,http://aquichan.unisabana.edu.co/index.php/personaybioetica,Spanish
2550-1011,,JURNAL ARBITRER,http://arbitrer.fib.unand.ac.id/index.php/arbitrer,English
2531-8810,,Ex Novo: Journal of Archaeology,http://archaeopresspublishing.com/ojs/index.php/EXNOVO,English
2675-3626,,Archives of Pediatric Neurosurgery,http://archpedneurosurg.com.br/pkp/index.php/sbnped2019,English
2387-4562,,Arctic Review,http://arcticreview.no/index.php/arctic,English
2535-5279,,Forskning og forandring,http://arcticreview.no/index.php/fof,Norwegian
2000-7558,,Högre utbildning,http://arcticreview.no/index.php/hu,Swedish
0809-9707,1892-977X,Inspira,http://arcticreview.no/index.php/inspira,Norwegian
1891-1757,,Internasjonal Politikk,http://arcticreview.no/index.php/intpol,Norwegian
2535-2857,,Journal for Research in Arts and Sports Education,http://arcticreview.no/index.php/jased,Norwegian
2464-1596,,Nordic Journal of Literacy Research,http://arcticreview.no/index.php/njlr,English
1891-1773,,Nordisk Østforum,http://arcticreview.no/index.php/noros,English
2703-8041,,Nordic Research in Music Education,http://arcticreview.no/index.php/nrme,English
1891-5914,1891-5949,Nordic Studies in Education,http://arcticreview.no/index.php/nse,English
2387-5739,,Nordisk tidsskrift for pedagogikk og kritikk,http://arcticreview.no/index.php/ntpk,Norwegian
1820-0958,2560-5593,Arhe,http://arhe.ff.uns.ac.rs/index.php/arhe,English
2550-1631,,Asia-Pacific Management Accounting Journal,http://arionline.uitm.edu.my/ojs/index.php/APMAJ,English
2550-1895,,Management & Accounting Review (MAR),http://arionline.uitm.edu.my/ojs/index.php/MAR,English
2710-0227,2710-0235,Al Khadim Research journal of Islamic culture and Civilization,http://arjicc.com/index.php/arjicc,English
2707-1200,2707-1219,Al-Aijaz Research Journal of Islamic Studies & Humanities,http://arjish.com/index.php/arjish,English
2707-6288,,URDU RESEARCH : ارمغان,http://armaghan.wum.edu.pk/index.php/ojs,English
2307-549X,2410-9355,ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY,http://aro.koyauniversity.org/index.php/aro,English
2174-3835,,Atlantic Review of Economics,http://aroec.org/ojs/index.php/ARoEc,Spanish
2175-0106,,Ars Veterinaria,http://arsveterinaria.org.br/index.php/ars,Portuguese
2708-5317,2708-5325,АРТ-платФОРМА,http://art-platforma.kmaecm.edu.ua/index.php/art1,Russian
2308-8885,,Мистецтво та освіта,http://artedu.com.ua/index.php/adm,Ukrainian
1984-3852,,ARTEFACTUM - Revista de estudos em Linguagens e Tecnologia,http://artefactum.rafrom.com.br/index.php/artefactum,Portuguese
2715-4432,,ARTERI : Jurnal Ilmu Kesehatan,http://arteri.sinergis.org/index.php/arteri,English
2655-786X,,Arthatama,http://arthatamajournal.co.id/index.php/home,English
1410-8755,2579-6070,Arthavidya Jurnal Ilmiah Ekonomi,http://arthavidya.wisnuwardhana.ac.id/index.php/arthavidya,English
2722-1032,,Jurnal Applied Science in Civil Engineering,http://asce.ppj.unp.ac.id/index.php/ASCE,Indonesian
2503-2569,,ASIAN TEFL Journal of Language Teaching and Applied Linguistics,http://asian-tefl.com/index.php/asiantefl,English
1998-409X,,Asian Journal of Pharmaceutics (AJP): Free full text articles from Asian J Pharm,http://asiapharmaceutics.info/index.php/ajp,English
2456-2394,,Academy of Social Science Journal,http://assj.info/index.php/assj,English
1992-6499,,Астраханский Медицинский Журнал,http://astmedj.ru/index.php/amj,English
2614-5774,,At-Tibyan,http://at-tibyan.fusa.uinjambi.ac.id/index.php/ATB,Indonesian
1682-2749,,Atenas,http://atenas.umcc.cu/index.php/atenas,Spanish
2737-6419,,Athenea,http://athenea.autanabooks.com/index.php/revista,Spanish
0320-9466,,Науково-практичний журнал «Архіви України»,http://au.archives.gov.ua/index.php/au,Ukrainian
2655-4771,,Authentica,http://authentica.fh.unsoed.ac.id/index.php/atc,English
2255-5838,,A Y E R JOURNAL,http://ayerjournal.com/index.php/ayer,English
2615-9929,,Bản B của Tạp chí Khoa học và Công nghệ Việt Nam,http://b.vjst.vn/index.php/ban_b,English
2774-5368,,International Journal of Multidisciplinary: Applied Business and Education Research,http://babmrjournal.org/index.php/ijmaber,English
2615-7004,,Behavioral Accounting Journal,http://baj.upnjatim.ac.id/index.php/baj,English
2721-2181,2747-1357,Jurnal Bakti Nusa,http://baktinusa.unram.ac.id/index.php/baktinusa,Indonesian
2620-3154,,Bali Anatomy Journal,http://balianatomyjournal.org/ojs/index.php/baj,English
2500-946X,2592-8236,Economics & Education,http://baltijapublishing.lv/index.php/econedu,English
2661-5169,2661-5282,"Green, Blue & Digital Economy Journal",http://baltijapublishing.lv/index.php/gbdej,English
2256-0742,2256-0963,Baltic Journal of Economic Studies,http://baltijapublishing.lv/index.php/issue,English
2661-5150,2661-5290,Three Seas Economic Journal,http://baltijapublishing.lv/index.php/threeseas,English
1829-4952,,Banber Eurasia International University,http://banber.ohanyan.org/index.php/banber,Armenian
0347-772X,,Barnboken,http://barnboken.net/index.php/clr,English
2664-8288,2664-8296,Basrah Journal of Science,http://basjsci.net/index.php/bsj,English
2723-4835,,Jurnal Bastrindo,http://bastrindo.jurnal.unram.ac.id/index.php/jb,Indonesian
2722-7324,,Bulletin of Computer Science and Electrical Engineering,http://bcsee.org/index.php/bcsee,English
1991-0088,,||| Bangladesh Journal of Pharmacology |||,http://bdpsjournal.org/index.php/bjp,English
2746-0983,,Jurnal Begawe Teknologi Informasi (JBegaTI),http://begawe.unram.ac.id/index.php/JBTI,Indonesian
2614-3453,2614-7238,Jurnal Belantara,http://belantara.unram.ac.id/index.php/JBL,English
1677-7298,2175-1552,Revista Acta Ambiental Catarinense,http://bell.unochapeco.edu.br/revistas/index.php/acta,Portuguese
2318-3381,,Revista FisiSenectus,http://bell.unochapeco.edu.br/revistas/index.php/fisisenectus,Portuguese
2175-0157,,Revista Grifos,http://bell.unochapeco.edu.br/revistas/index.php/grifos,Portuguese
1415-8175,1984-1566,Revista Pedagógica,http://bell.unochapeco.edu.br/revistas/index.php/pedagogica,Portuguese
2702-2536,,Berliner Blätter,http://berliner-blaetter.de/index.php/blaetter,English
2722-9114,,Bulletin of Educational Science and Technology,http://bestjournal.id/index.php/BEST,English
2541-2353,2541-531X,Bina Hukum Lingkungan,http://bhl-jurnal.or.id/index.php/bhl,Indonesian
2686-1208,2686-1216,Britain International of Exact Sciences (BIoEx) Journal,http://biarjournal.com/index.php/bioex,English
2685-1989,2685-3868,Britain International of Humanities and Social Sciences (BIoHS) Journal,http://biarjournal.com/index.php/biohs,English
2685-4805,2685-4813,Britain International of Linguistics Arts and Education (BIoLAE) Journal,http://biarjournal.com/index.php/biolae,English
2774-311X,2774-4728,Lakhomi Journal Scientific Journal of Culture,http://biarjournal.com/index.php/lakhomi,English
2774-4523,,LingLit Journal Scientific Journal for Linguistics and Literature,http://biarjournal.com/index.php/linglit,English
1308-0261,,Biyoloji Bilimleri Araştırma Dergisi,http://bibad.gen.tr/index.php/bibad,English
1562-4730,,Biblios: Journal of Librarianship and Information Science,http://biblios.pitt.edu/ojs/index.php/biblios,Spanish
1676-1316,,Sumários Revista da ESPM,http://bibliotecasp.espm.br/index.php/espm,Portuguese
2615-5451,,Bioeducation Journal,http://bioeducation.ppj.unp.ac.id/index.php/bioedu,English
2318-8790,,Revista de Ensino de Bioquímica,http://bioquimica.org.br/revista/ojs/index.php/REB,English
2708-0617,,Ефективне кролівництво і звірівництво,http://bioresurs.ck.ua/journal/index.php/kiz,Ukrainian
2722-0850,,BIOS : Jurnal Teknologi Informasi dan Rekayasa Komputer,http://bios.sinergis.org/index.php/bios,English
2460-9455,,BIOSAINTROPIS (BIOSCIENCE-TROPIC),http://biosaintropis.unisma.ac.id/index.php/biosaintropis,Indonesian
2582-6654,,Biotica Research Today,http://bioticainternational.com/ojs/index.php/biorestoday,English
2582-6743,,Research Biotica,http://bioticainternational.com/ojs/index.php/resbio,English
2722-0680,,Sriwijaya Bioscientia,http://biovalentia.ejournal.unsri.ac.id/sribios,Indonesian
2686-5319,2686-6455,Jurnal Bisantara Informatika,http://bisantara.amikparbinanusantara.ac.id/index.php/bisantara,Indonesian
2348-9227,,Bengal Journal of Psychiatry,http://bjponline.org/index.php/bjp,English
2614-2465,2614-2473,Jurnal Aplikasi IPTEK Indonesia,http://bk.ppj.unp.ac.id/index.php/aiptekin,English
2774-8995,2774-9134,International Journal of Applied Counseling and Social Sciences,http://bk.ppj.unp.ac.id/index.php/ijacss,English
2598-0017,2598-0025,Jurnal Pengelolaan Lingkungan Berkelanjutan (Journal of Environmental Sustainability Management),http://bkpsl.org/ojswp/index.php/jplb,Indonesian
0215-7829,2502-7891,Penamas,http://blajakarta.kemenag.go.id/journal/index.php/penamas,Indonesian
2309-4001,,Буковинський математичний журнал,http://bmj.fmi.org.ua/index.php/adm,Ukrainian
2685-5372,2685-5380,Jurnal Pendidikan Tata Boga dan Teknologi,http://boga.ppj.unp.ac.id/index.php/jptb,English
2408-4417,,Boletín de Estética,http://boletindeestetica.com.ar/index.php/boletin,Spanish
2359-3377,,Revista Meditatio,http://book.uniguacu.edu.br/index.php/Meditatio,Portuguese
1678-068X,,R.E.V.I.,http://book.uniguacu.edu.br/index.php/REVI,Portuguese
2359-3326,,Revista Renovare,http://book.uniguacu.edu.br/index.php/renovare,Portuguese
2656-5889,2685-1598,Border: Jurnal Arsitektur,http://border.upnjatim.ac.id/index.php/border,Indonesian
1978-8584,2721-1517,Jurnal Konservasi Cagar Budaya,http://borobudur.kemdikbud.go.id/index.php/jurnalkonservasicagarbudaya,Indonesian
2303-8888,,BOSNIACA,http://bosniaca.nub.ba/index.php/bosniaca,Croatian
